t, acceleration, velocity
0.000000,0.218988,0.002190
0.010000,0.218987,0.004380
0.020000,0.218987,0.006570
0.030000,0.218986,0.008760
0.040000,0.218986,0.010949
0.050000,0.218985,0.013139
0.060000,0.218985,0.015329
0.070000,0.218984,0.017519
0.080000,0.218984,0.019709
0.090000,0.218983,0.021899
0.100000,0.218983,0.024088
0.110000,0.218982,0.026278
0.120000,0.218982,0.028468
0.130000,0.218981,0.030658
0.140000,0.218981,0.032848
0.150000,0.218981,0.035038
0.160000,0.218980,0.037227
0.170000,0.218980,0.039417
0.180000,0.218979,0.041607
0.190000,0.218979,0.043797
0.200000,0.218978,0.045987
0.210000,0.218978,0.048176
0.220000,0.218977,0.050366
0.230000,0.218977,0.052556
0.240000,0.218976,0.054746
0.250000,0.218976,0.056935
0.260000,0.218975,0.059125
0.270000,0.218975,0.061315
0.280000,0.218974,0.063505
0.290000,0.218974,0.065694
0.300000,0.218973,0.067884
0.310000,0.218973,0.070074
0.320000,0.218972,0.072264
0.330000,0.218972,0.074453
0.340000,0.218971,0.076643
0.350000,0.218971,0.078833
0.360000,0.218970,0.081022
0.370000,0.218970,0.083212
0.380000,0.218969,0.085402
0.390000,0.218969,0.087592
0.400000,0.218968,0.089781
0.410000,0.218968,0.091971
0.420000,0.218967,0.094161
0.430000,0.218967,0.096350
0.440000,0.218966,0.098540
0.450000,0.218966,0.100730
0.460000,0.218965,0.102919
0.470000,0.218965,0.105109
0.480000,0.218964,0.107299
0.490000,0.218964,0.109488
0.500000,0.218963,0.111678
0.510000,0.218963,0.113867
0.520000,0.218962,0.116057
0.530000,0.218962,0.118247
0.540000,0.218961,0.120436
0.550000,0.218961,0.122626
0.560000,0.218961,0.124816
0.570000,0.218960,0.127005
0.580000,0.218960,0.129195
0.590000,0.218959,0.131384
0.600000,0.218959,0.133574
0.610000,0.218958,0.135764
0.620000,0.218958,0.137953
0.630000,0.218957,0.140143
0.640000,0.218957,0.142332
0.650000,0.218956,0.144522
0.660000,0.218956,0.146711
0.670000,0.218955,0.148901
0.680000,0.218955,0.151090
0.690000,0.218954,0.153280
0.700000,0.218954,0.155470
0.710000,0.218953,0.157659
0.720000,0.218953,0.159849
0.730000,0.218952,0.162038
0.740000,0.218952,0.164228
0.750000,0.218951,0.166417
0.760000,0.218951,0.168607
0.770000,0.218950,0.170796
0.780000,0.218950,0.172986
0.790000,0.218949,0.175175
0.800000,0.218949,0.177365
0.810000,0.218948,0.179554
0.820000,0.218948,0.181744
0.830000,0.218947,0.183933
0.840000,0.218947,0.186123
0.850000,0.218946,0.188312
0.860000,0.218946,0.190502
0.870000,0.218945,0.192691
0.880000,0.218945,0.194880
0.890000,0.218944,0.197070
0.900000,0.218944,0.199259
0.910000,0.218943,0.201449
0.920000,0.218943,0.203638
0.930000,0.218942,0.205828
0.940000,0.218942,0.208017
0.950000,0.218941,0.210207
0.960000,0.218941,0.212396
0.970000,0.218940,0.214585
0.980000,0.218940,0.216775
0.990000,0.218940,0.218964
1.000000,0.218939,0.221154
1.010000,0.218939,0.223343
1.020000,0.218938,0.225532
1.030000,0.218938,0.227722
1.040000,0.218937,0.229911
1.050000,0.218937,0.232100
1.060000,0.218936,0.234290
1.070000,0.218936,0.236479
1.080000,0.218935,0.238669
1.090000,0.218935,0.240858
1.100000,0.218934,0.243047
1.110000,0.218934,0.245237
1.120000,0.218933,0.247426
1.130000,0.218933,0.249615
1.140000,0.218932,0.251805
1.150000,0.218932,0.253994
1.160000,0.218931,0.256183
1.170000,0.218931,0.258373
1.180000,0.218930,0.260562
1.190000,0.218930,0.262751
1.200000,0.218929,0.264940
1.210000,0.218929,0.267130
1.220000,0.218928,0.269319
1.230000,0.218928,0.271508
1.240000,0.218927,0.273698
1.250000,0.218927,0.275887
1.260000,0.218926,0.278076
1.270000,0.218926,0.280265
1.280000,0.218925,0.282455
1.290000,0.218925,0.284644
1.300000,0.218924,0.286833
1.310000,0.218924,0.289022
1.320000,0.218923,0.291212
1.330000,0.218923,0.293401
1.340000,0.218922,0.295590
1.350000,0.218922,0.297779
1.360000,0.218921,0.299969
1.370000,0.218921,0.302158
1.380000,0.218920,0.304347
1.390000,0.218920,0.306536
1.400000,0.218919,0.308725
1.410000,0.218919,0.310915
1.420000,0.218919,0.313104
1.430000,0.218918,0.315293
1.440000,0.218918,0.317482
1.450000,0.218917,0.319671
1.460000,0.218917,0.321860
1.470000,0.218916,0.324050
1.480000,0.218916,0.326239
1.490000,0.218915,0.328428
1.500000,0.218915,0.330617
1.510000,0.218914,0.332806
1.520000,0.218914,0.334995
1.530000,0.218913,0.337185
1.540000,0.218913,0.339374
1.550000,0.218912,0.341563
1.560000,0.218912,0.343752
1.570000,0.218911,0.345941
1.580000,0.218911,0.348130
1.590000,0.218910,0.350319
1.600000,0.218910,0.352508
1.610000,0.218909,0.354697
1.620000,0.218909,0.356887
1.630000,0.218908,0.359076
1.640000,0.218908,0.361265
1.650000,0.218907,0.363454
1.660000,0.218907,0.365643
1.670000,0.218906,0.367832
1.680000,0.218906,0.370021
1.690000,0.218905,0.372210
1.700000,0.218905,0.374399
1.710000,0.218904,0.376588
1.720000,0.218904,0.378777
1.730000,0.218903,0.380966
1.740000,0.218903,0.383155
1.750000,0.218902,0.385344
1.760000,0.218902,0.387533
1.770000,0.218901,0.389722
1.780000,0.218901,0.391911
1.790000,0.218900,0.394100
1.800000,0.218900,0.396289
1.810000,0.218899,0.398478
1.820000,0.218899,0.400667
1.830000,0.218899,0.402856
1.840000,0.218898,0.405045
1.850000,0.218898,0.407234
1.860000,0.218897,0.409423
1.870000,0.218897,0.411612
1.880000,0.218896,0.413801
1.890000,0.218896,0.415990
1.900000,0.218895,0.418179
1.910000,0.218895,0.420368
1.920000,0.218894,0.422557
1.930000,0.218894,0.424746
1.940000,0.218893,0.426935
1.950000,0.218893,0.429124
1.960000,0.218892,0.431313
1.970000,0.218892,0.433502
1.980000,0.218891,0.435691
1.990000,0.218891,0.437880
2.000000,0.218890,0.440068
2.010000,0.218890,0.442257
2.020000,0.218889,0.444446
2.030000,0.218889,0.446635
2.040000,0.218888,0.448824
2.050000,0.218888,0.451013
2.060000,0.218887,0.453202
2.070000,0.218887,0.455391
2.080000,0.218886,0.457580
2.090000,0.218886,0.459768
2.100000,0.218885,0.461957
2.110000,0.218885,0.464146
2.120000,0.218884,0.466335
2.130000,0.218884,0.468524
2.140000,0.218883,0.470713
2.150000,0.218883,0.472901
2.160000,0.218882,0.475090
2.170000,0.218882,0.477279
2.180000,0.218881,0.479468
2.190000,0.218881,0.481657
2.200000,0.218880,0.483846
2.210000,0.218880,0.486034
2.220000,0.218879,0.488223
2.230000,0.218879,0.490412
2.240000,0.218879,0.492601
2.250000,0.218878,0.494790
2.260000,0.218878,0.496978
2.270000,0.218877,0.499167
2.280000,0.218877,0.501356
2.290000,0.218876,0.503545
2.300000,0.218876,0.505733
2.310000,0.218875,0.507922
2.320000,0.218875,0.510111
2.330000,0.218874,0.512300
2.340000,0.218874,0.514488
2.350000,0.218873,0.516677
2.360000,0.218873,0.518866
2.370000,0.218872,0.521055
2.380000,0.218872,0.523243
2.390000,0.218871,0.525432
2.400000,0.218871,0.527621
2.410000,0.218870,0.529809
2.420000,0.218870,0.531998
2.430000,0.218869,0.534187
2.440000,0.218869,0.536375
2.450000,0.218868,0.538564
2.460000,0.218868,0.540753
2.470000,0.218867,0.542942
2.480000,0.218867,0.545130
2.490000,0.218866,0.547319
2.500000,0.218866,0.549508
2.510000,0.218865,0.551696
2.520000,0.218865,0.553885
2.530000,0.218864,0.556074
2.540000,0.218864,0.558262
2.550000,0.218863,0.560451
2.560000,0.218863,0.562639
2.570000,0.218862,0.564828
2.580000,0.218862,0.567017
2.590000,0.218861,0.569205
2.600000,0.218861,0.571394
2.610000,0.218860,0.573583
2.620000,0.218860,0.575771
2.630000,0.218859,0.577960
2.640000,0.218859,0.580148
2.650000,0.218859,0.582337
2.660000,0.218858,0.584525
2.670000,0.218858,0.586714
2.680000,0.218857,0.588903
2.690000,0.218857,0.591091
2.700000,0.218856,0.593280
2.710000,0.218856,0.595468
2.720000,0.218855,0.597657
2.730000,0.218855,0.599845
2.740000,0.218854,0.602034
2.750000,0.218854,0.604223
2.760000,0.218853,0.606411
2.770000,0.218853,0.608600
2.780000,0.218852,0.610788
2.790000,0.218852,0.612977
2.800000,0.218851,0.615165
2.810000,0.218851,0.617354
2.820000,0.218850,0.619542
2.830000,0.218850,0.621731
2.840000,0.218849,0.623919
2.850000,0.218849,0.626108
2.860000,0.218848,0.628296
2.870000,0.218848,0.630485
2.880000,0.218847,0.632673
2.890000,0.218847,0.634862
2.900000,0.218846,0.637050
2.910000,0.218846,0.639239
2.920000,0.218845,0.641427
2.930000,0.218845,0.643615
2.940000,0.218844,0.645804
2.950000,0.218844,0.647992
2.960000,0.218843,0.650181
2.970000,0.218843,0.652369
2.980000,0.218842,0.654558
2.990000,0.218842,0.656746
3.000000,0.218841,0.658934
3.010000,0.218841,0.661123
3.020000,0.218840,0.663311
3.030000,0.218840,0.665500
3.040000,0.218839,0.667688
3.050000,0.218839,0.669877
3.060000,0.218838,0.672065
3.070000,0.218838,0.674253
3.080000,0.218838,0.676442
3.090000,0.218837,0.678630
3.100000,0.218837,0.680818
3.110000,0.218836,0.683007
3.120000,0.218836,0.685195
3.130000,0.218835,0.687383
3.140000,0.218835,0.689572
3.150000,0.218834,0.691760
3.160000,0.218834,0.693949
3.170000,0.218833,0.696137
3.180000,0.218833,0.698325
3.190000,0.218832,0.700514
3.200000,0.218832,0.702702
3.210000,0.218831,0.704890
3.220000,0.218831,0.707078
3.230000,0.218830,0.709267
3.240000,0.218830,0.711455
3.250000,0.218829,0.713643
3.260000,0.218829,0.715832
3.270000,0.218828,0.718020
3.280000,0.218828,0.720208
3.290000,0.218827,0.722397
3.300000,0.218827,0.724585
3.310000,0.218826,0.726773
3.320000,0.218826,0.728961
3.330000,0.218825,0.731150
3.340000,0.218825,0.733338
3.350000,0.218824,0.735526
3.360000,0.218824,0.737714
3.370000,0.218823,0.739903
3.380000,0.218823,0.742091
3.390000,0.218822,0.744279
3.400000,0.218822,0.746467
3.410000,0.218821,0.748655
3.420000,0.218821,0.750844
3.430000,0.218820,0.753032
3.440000,0.218820,0.755220
3.450000,0.218819,0.757408
3.460000,0.218819,0.759596
3.470000,0.218818,0.761785
3.480000,0.218818,0.763973
3.490000,0.218818,0.766161
3.500000,0.218817,0.768349
3.510000,0.218817,0.770537
3.520000,0.218816,0.772726
3.530000,0.218816,0.774914
3.540000,0.218815,0.777102
3.550000,0.218815,0.779290
3.560000,0.218814,0.781478
3.570000,0.218814,0.783666
3.580000,0.218813,0.785854
3.590000,0.218813,0.788043
3.600000,0.218812,0.790231
3.610000,0.218812,0.792419
3.620000,0.218811,0.794607
3.630000,0.218811,0.796795
3.640000,0.218810,0.798983
3.650000,0.218810,0.801171
3.660000,0.218809,0.803359
3.670000,0.218809,0.805547
3.680000,0.218808,0.807736
3.690000,0.218808,0.809924
3.700000,0.218807,0.812112
3.710000,0.218807,0.814300
3.720000,0.218806,0.816488
3.730000,0.218806,0.818676
3.740000,0.218805,0.820864
3.750000,0.218805,0.823052
3.760000,0.218804,0.825240
3.770000,0.218804,0.827428
3.780000,0.218803,0.829616
3.790000,0.218803,0.831804
3.800000,0.218802,0.833992
3.810000,0.218802,0.836180
3.820000,0.218801,0.838368
